star_name,has_planets,planet_count,planet_count_override,confirmed_exoplanet_count,distance_ly,planet_names,notes,hyg_id,nasa_hosts,match_method,controversial_planet_count,distance_pc,spectral_type,hyg_luminosity_solar,apparent_magnitude,hip,hd,hr,gliese,bayer_flamsteed,proper_name,ra_deg_j2000,dec_deg_j2000,x_ly,y_ly,z_ly,component,primary_hyg_id,archive_planet_count,solar_system_planet_count,x_pc,y_pc,z_pc,system_id,faction_owners
Gl 283B,Unknown,0,,0,29.12119834081714,,,118496,,,0,8.9286,m,1.87758669892e-05,16.42,,,,Gl 283B,,,115.08522,-17.413251,-11.780902087243634,25.165573791868482,-8.714852750698501,2,118495,0,0,-3.612041,7.7158,-2.671986,hyg:118495,
GJ 3707,Unknown,0,,0,29.12119834081714,,,118800,,,0,8.9286,m,0.0010413578615284342,12.06,,,,GJ 3707,,,182.52108,-15.071534,-28.09226955447036,-1.2368828312152058,-7.5722323742072115,1,118800,0,0,-8.613129,-0.37923,-2.321657,hyg:118800,
GJ 3820,Unknown,0,,0,29.12119834081714,,,118938,,,0,8.9286,K2 :,0.0004381269820225,13.0,,,,GJ 3820,,,209.79326999999998,-19.835763,-23.77276864272201,-13.610822013806086,-9.881553252556618,1,118938,0,0,-7.288764,-4.173097,-3.029698,hyg:118938,
Gl 216B,Unknown,0,,0,29.254270142925577,,,118392,,,0,8.9694,K2 V,0.24751413180743126,6.13,,38392,1982,Gl 216B,,,86.10885,-22.420198,1.8352460602105658,26.97934571617018,-11.156938844161285,2,27006,0,0,0.562689,8.271905,-3.420733,hyg:27006,
GJ 4360,Unknown,0,,0,29.38342806850141,,,119591,,,0,9.009,m,0.0001119953522385,14.5,,,,GJ 4360,,,356.38251,-16.171768,28.164519715262173,-1.780699667601218,-8.183811459627654,1,119591,0,0,8.635281,-0.545965,-2.509168,hyg:119591,
Gl 51,Unknown,0,,0,29.409846735096462,,,118037,,,0,9.0171,M5,0.0002432204009074,13.66,,,,Gl 51,,,15.81981,62.366819,13.12316278253534,3.7212159602836397,26.05521423554756,1,118037,0,0,4.02358,1.14093,7.988565,hyg:118037,
HIP 31293,Unknown,0,,0,29.41539139351765,,,31215,,,0,9.0188,,0.005133339643802892,10.35,31293,,,,,,98.43255,-75.62999,-1.070295199732602,7.22151315968462,-28.49507920407809,1,31215,0,0,-0.328154,2.214126,-8.736631,hyg:31215,
Gl 357,Yes,3,,3,29.431046899648052,GJ 357 b; GJ 357 c; GJ 357 d,,46970,GJ 357,catalog identifier,0,9.0236,K,0.003067608976917938,10.91,47103,,,Gl 357,,,144.006795,-21.660797,-22.129067700016932,16.073684268529423,-10.862478343231055,1,46970,3,0,-6.784803,4.928214,-3.330451,hyg:46970,
Rana,Unknown,0,,0,29.487145796615334,,,17336,,,0,9.0408,K0IV,2.782274657675122,3.52,17378,23249,1136,Gl 150,23Del Eri,Rana,55.81209,-9.763395,16.32902557351631,24.038341473277868,-5.000404535252485,1,17336,0,0,5.006502,7.370189,-1.533131,hyg:17336,
Groombridge 1830,Unknown,0,,0,29.653159392873153,,,57767,,,0,9.0917,G8Vp,0.194625615936124,6.42,57939,103095,4550,Gl 451A,,Groombridge 1830,178.2423,37.718679,-23.44307346830704,0.7183496372297957,18.139588119061273,1,57767,0,0,-7.187679,0.220247,5.561623,hyg:57767,
Gl 849,Yes,2,,2,29.666857960737257,GJ 849 b; GJ 849 c,,109042,GJ 849,catalog identifier,0,9.0959,M3,0.004938556196176077,10.41,109388,,,Gl 849,,,332.418105,-4.640729,26.208631672497958,-13.690997774576415,-2.400236968637949,1,109042,2,0,8.035603,-4.197679,-0.735916,hyg:109042,
GJ 2066,Unknown,0,,0,29.753289400832195,,,40386,,,0,9.1224,,0.006735967762229425,10.08,40501,,,GJ 2066,,,124.03326,1.302573,-16.647840171170646,24.65056308676241,0.6763570035987649,1,40386,0,0,-5.104251,7.557897,0.207372,hyg:40386,
Gl 502,Unknown,0,,0,29.775141878139213,,,64189,,,0,9.1291,G0V,1.4750271017597587,4.23,64394,114710,4983,Gl 502,43Bet Com,,197.96856,27.878183,-25.035998386129172,-8.119382528773489,13.922722096252828,1,64189,0,0,-7.676072,-2.489414,4.268726,hyg:64189,
Gl 137,Unknown,0,,0,29.810366766932628,,,15419,,,0,9.1399,G5Vvar,0.843334757764275,4.84,15457,20630,996,Gl 137,96Kap1Cet,,49.840395,3.370198,19.192378506001816,22.743621331602153,1.7524969256200509,1,15419,0,0,5.88441,6.973226,0.537318,hyg:15419,
Gl 84,Unknown,0,,0,29.81852067637554,,,9702,,,0,9.1424,M3,0.0061094202490557204,10.19,9724,,,Gl 84,,,31.270035,-17.614632,24.290933280000598,14.751818131536346,-9.023174897681693,1,9702,0,0,7.447634,4.522928,-2.766518,hyg:9702,
Gl 451B,Unknown,0,,0,29.86516103838904,,,118779,,,0,9.1567,,0.0011577105741152687,12.0,,,,Gl 451B,,,178.23022500000002,37.719619,-23.612720446612627,0.7235322620717147,18.27146618882726,2,57767,0,0,-7.239693,0.221836,5.602057,hyg:57767,
GJ 3421,Unknown,0,,0,29.89516742513898,,,118459,,,0,9.1659,M4.5,0.0003502676269138,13.3,,,,GJ 3421,,,105.97938,52.707092,-4.988375888042291,17.4127355850644,23.783055614875195,1,118459,0,0,-1.529443,5.338769,7.291918,hyg:118459,
