star_name,has_planets,planet_count,planet_count_override,confirmed_exoplanet_count,distance_ly,planet_names,notes,hyg_id,nasa_hosts,match_method,controversial_planet_count,distance_pc,spectral_type,hyg_luminosity_solar,apparent_magnitude,hip,hd,hr,gliese,bayer_flamsteed,proper_name,ra_deg_j2000,dec_deg_j2000,x_ly,y_ly,z_ly,component,primary_hyg_id,archive_planet_count,solar_system_planet_count,x_pc,y_pc,z_pc,system_id,faction_owners
Gl 83.1,Yes,1,,1,14.573645425517242,GJ 9066 c,,118100,GJ 9066,verified alias,0,4.4683,dM8  e,0.0002130100037411,12.28,,,,Gl 83.1,,,30.053445000000004,13.05304,12.283995038307932,7.107573690693053,3.290334031245827,1,118100,1,0,3.76629,2.179192,1.008821,hyg:118100,
GJ 3618,Unknown,0,,0,14.63887670106059,,,118704,,,0,4.4883,m,4.7424198526e-05,13.92,,,,GJ 3618,,,161.13621,-61.193586,-6.674708730878723,2.2812127217177776,-12.827355255765141,1,118704,0,0,-2.046475,0.699423,-3.932885,hyg:118704,
GJ 3622,Unknown,0,,0,14.758249935304917,,,118707,,,0,4.5249,M6.5,1.02612436519e-05,15.6,,,,GJ 3622,,,162.052065,-11.336727,-13.76505484170078,4.458668576556305,-2.9008707006142638,1,118707,0,0,-4.220385,1.367034,-0.889411,hyg:118707,
Gl 687,Yes,2,,2,14.769013095769571,GJ 687 b; GJ 687 c,,85899,GJ 687,catalog identifier,0,4.5282,M3.5Vvar,0.003908408957924021,9.15,86162,,,Gl 687,,,264.109245,68.339141,-0.5595930203761709,-5.422369348923521,13.725469242137297,1,85899,2,0,-0.171572,-1.662506,4.208248,hyg:85899,
Gl 674,Yes,1,,1,14.80913033022873,GJ 674 b,,85264,GJ 674,catalog identifier,0,4.5405,K5,0.0031798014276915245,9.38,85523,,,Gl 674,,,262.16580000000005,-46.89519,-1.3792305207059012,-10.02496421183867,-10.812002382215612,1,85264,1,0,-0.422874,-3.073668,-3.314975,hyg:85264,
Gl 440,Unknown,0,,0,15.029612041565251,,,57194,,,0,4.6081,DC:,0.0004647292416762,11.5,57367,,,Gl 440,,,176.42007,-64.841517,-6.377032328064206,0.39798579678130175,-13.603832482631615,1,57194,0,0,-1.955207,0.122023,-4.170954,hyg:57194,
Gl 876,Yes,4,,4,15.292494082004945,GJ 876 b; GJ 876 c; GJ 876 d; GJ 876 e,,112660,GJ 876,catalog identifier,0,4.6887,M5,0.001651961798229015,10.16,113020,,,Gl 876,,,343.319655,-14.263701,14.197368597236768,-4.254086988633477,-3.7678302297869166,1,112660,4,0,4.352933,-1.304309,-1.155222,hyg:112660,
GJ 1002,Yes,2,,2,15.326740501665203,GJ 1002 b; GJ 1002 c,,117960,GJ 1002,catalog identifier,0,4.6992,M5-5.5,6.08135001279e-05,13.75,,,,GJ 1002,,,1.682325,-7.539302,15.180752906999189,0.4458427220836795,-2.0100463092840775,1,117960,2,0,4.65444,0.136696,-0.616283,hyg:117960,
GJ 1245A,Unknown,0,,0,15.384796336898782,,,119312,,,0,4.717,M5.5 V e,8.37915067438e-05,13.41,,,,GJ 1245A,,,298.47333000000003,44.414534,5.239545652958178,-9.659789746655672,10.766966709580483,1,119312,0,0,1.606452,-2.961705,3.301167,hyg:119312,
GJ 1245B,Unknown,0,,0,15.384796336898782,,,119313,,,0,4.717,m,4.82169793901e-05,14.01,,,,GJ 1245B,,,298.47749999999996,44.414552,5.240250150734045,-9.659404882129968,10.766969971144261,2,119312,0,0,1.606668,-2.961587,3.301168,hyg:119312,
Gl 412B,Unknown,0,,0,15.760854640406189,,,118727,,,0,4.8323,M6  e,3.53508613362e-05,14.4,,,,Gl 412B,,,166.40260500000002,43.521487,-11.107046703061956,2.691331535750142,10.85334270309121,2,54052,0,0,-3.405436,0.825166,3.32765,hyg:54052,
Gl 412A,Unknown,0,,0,15.812061191707716,,,54052,,,0,4.848,M2Vvar,0.006070158063410442,8.82,54211,,,Gl 412A,,,166.37313,43.526777,-11.143077198108324,2.702159927490338,10.891046380355265,1,54052,0,0,-3.416483,0.828486,3.33921,hyg:54052,
Gl 380,Unknown,0,,0,15.89392644251462,,,49767,,,0,4.8731,K8V,0.04738053933388253,6.6,49908,88230,,Gl 380,,,152.84403,49.454237,-9.192440273025351,4.715705894707316,12.077022724136441,1,49767,0,0,-2.818415,1.445842,3.702832,hyg:49767,
Gl 388,Unknown,0,,0,15.996013388739959,,,118676,,,0,4.9044,M4.5Ve,0.003640826637894008,9.4,,,,Gl 388,,,154.902645,19.870262,-13.625084832203637,6.381813780561534,5.437607374890447,1,118676,0,0,-4.17747,1.956673,1.667178,hyg:118676,
Gl 832,Yes,1,,1,16.156808482954315,GJ 832 b,,106098,GJ 832,catalog identifier,0,4.9537,M1V,0.0073451386815711435,8.66,106440,204961,,Gl 832,,,323.391615,-49.009006,8.507312924429783,-6.320033239494428,-12.195453366449168,1,106098,1,0,2.608354,-1.937731,-3.739143,hyg:106098,
Keid,Unknown,0,,0,16.25726464729107,,,19799,,,0,4.9845,K1V,0.3657631930094519,4.43,19849,26965,1325,Gl 166A,40Omi2Eri,Keid,63.818055,-7.652871,7.108656529867072,14.458166498422852,-2.164830341457112,1,19799,0,0,2.179524,4.432894,-0.66374,hyg:19799,
GJ 1005A,Unknown,0,,0,16.264766243978556,,,1240,,,0,4.9868,M:,0.0005490349610252,11.49,1242,,,GJ 1005A,,,3.867045,-16.133807,15.58779932795346,1.053680793851711,-4.519441294416266,1,1240,0,0,4.779241,0.32306,-1.385667,hyg:1240,
Gl 166B,Unknown,0,,0,16.4526323175434,,,118281,,,0,5.0444,DA4,0.003448259965526229,9.52,,26976,,Gl 166B,,,63.842819999999996,-7.657504,7.186767720766455,14.632846069636608,-2.1918687051698305,2,19799,0,0,2.203473,4.486451,-0.67203,hyg:19799,
Gl 166C,Unknown,0,,0,16.4526323175434,,,118282,,,0,5.0444,dM4.5e,0.000754397082198,11.17,,,,Gl 166C,,,63.842819999999996,-7.657504,7.18495429130635,14.629153979440854,-2.191317500891489,3,19799,0,0,2.202917,4.485319,-0.671861,hyg:19799,
Gl 682,Yes,2,,2,16.564503955100246,GJ 682 b; GJ 682 c,,85951,GJ 682,catalog identifier,0,5.0787,M5,0.000945366045958,10.94,86214,,,Gl 682,,,264.265935,-44.319215,-1.1840846367904192,-11.790654162937363,-11.571653201555678,1,85951,2,0,-0.363042,-3.615031,-3.547885,hyg:85951,
Gl 702A,Unknown,0,,0,16.57983330485293,,,88327,,,0,5.0834,K0V SB,0.5500472528676338,4.03,88601,165341,6752,Gl 702A,70    Oph,,271.363695,2.500099,0.3941991212360103,-16.559161513633242,0.7232224135128839,1,88327,0,0,0.120862,-5.077062,0.221741,hyg:88327,
Gl 702B,Unknown,0,,0,16.588313370673568,,,119198,,,0,5.086,K5 Ve,0.08970156084148144,6.0,,,,Gl 702B,,,271.36485000000005,2.498264,0.39469814049391694,-16.56618039888171,0.7229973656122592,2,88327,0,0,0.121015,-5.079214,0.221672,hyg:88327,
Gl 873,Unknown,0,,0,16.70703429216246,,,112106,,,0,5.1224,M4.5Ve,0.0017490410399663018,10.29,112460,,,Gl 873,,,341.707905,44.333991,11.346266098298301,-3.7508309593803197,11.675527484730909,1,112106,0,0,3.478781,-1.15001,3.579733,hyg:112106,
Altair,Unknown,0,,0,16.73019139498035,,,97338,,,0,5.1295,A7IV-V,11.376272858234303,0.76,97649,187642,7557,Gl 768,53Alp Aql,Altair,297.69582,8.868322,7.68250910707702,-14.635615137283425,2.579078295231371,1,97338,0,0,2.355468,-4.4873,0.790749,hyg:97338,
GJ 1116A,Unknown,0,,0,17.049498488765042,,,118578,,,0,5.2274,m,5.65457540688e-05,14.06,,,,GJ 1116A,,,134.563515,19.763287,-11.255040159450926,11.42814765692409,5.763114701415534,1,118578,0,0,-3.450811,3.503886,1.766979,hyg:118578,
GJ 1116B,Unknown,0,,0,17.049498488765042,,,118579,,,0,5.2274,m,2.56094351716e-05,14.92,,,,GJ 1116B,,,134.563515,19.764954,-11.258673541498693,11.431826700864734,5.765498904536643,2,118578,0,0,-3.451925,3.505014,1.76771,hyg:118578,
HIP 67593,Unknown,0,,0,17.370762520816033,,,67380,,,0,5.3259,,0.0001171655673911,13.31,67593,,,,,,207.76155,23.776677,-14.066557058825914,-7.404558641986811,7.003418913032988,1,67380,0,0,-4.312826,-2.270248,2.147258,hyg:67380,
Gl 445,Unknown,0,,0,17.454584709889236,,,57371,,,0,5.3516,M4,0.0011934383792107956,10.8,57544,,,Gl 445,,,176.914995,78.69116,-3.417221908432749,0.18373041069539586,17.112482546865923,1,57371,0,0,-1.047725,0.056332,5.246711,hyg:57371,
GJ 3379,Unknown,0,,0,17.50709588670163,,,118406,,,0,5.3677,M4,0.0007372249081043,11.33,,,,GJ 3379,,,90.014865,2.707087,-0.0045368352140399,17.48755585811262,0.8268586025323791,1,118406,0,0,-0.001391,5.361709,0.253516,hyg:118406,
Gl 526,Unknown,0,,0,17.583416479087347,,,66943,,,0,5.3911,M3V,0.010452014414584357,8.46,67155,119850,,Gl 526,,,206.43225,14.89152,-15.216835587065992,-7.564430713652228,4.518877043882815,1,66943,0,0,-4.665503,-2.319265,1.385494,hyg:66943,
Gl 169.1B,Unknown,0,,0,17.98393651092351,,,118311,,,0,5.5139,DC5,0.0002797692637855,12.44,,,,Gl 169.1B,,,67.778895,58.981451,3.502081274787091,8.580221921104583,15.412245657647425,2,21036,0,0,1.073743,2.630708,4.725416,hyg:21036,
HIP 58910,Unknown,0,,0,17.99372120225501,,,58735,,,0,5.5169,F0Ib-II,0.024842768936968018,7.57,58910,104901,,,,,181.20342,-62.002292,-8.445043148796103,-0.17740297696769103,-15.887850149197755,1,58735,0,0,-2.589262,-0.054392,-4.871237,hyg:58735,
Gl 169.1A,Unknown,0,,0,18.193655061795376,,,21036,,,0,5.5782,,0.00127291674619356,10.82,21088,,,Gl 169.1A,,,67.79502000000001,58.977072,3.5432878715478244,8.68169243177604,15.591680588848291,1,21036,0,0,1.086377,2.661819,4.780431,hyg:21036,
HIP 33226,Unknown,0,,0,18.22007372839043,,,33139,,,0,5.5863,K:...,0.0030088462766457236,9.89,33226,265866,,,,,103.70433,33.268175,-3.609181244537938,14.80097968234959,9.995195919244464,1,33139,0,0,-1.10658,4.538001,3.064541,hyg:33139,
HIP 83609,Unknown,0,,0,18.31531139068372,,,83352,,,0,5.6155,G0,0.005480245321768504,9.25,83609,,,,,,256.33651499999996,-33.767358,-3.5965426849014146,-14.794662033313214,-10.180054831006759,1,83352,0,0,-1.102705,-4.536064,-3.121219,hyg:83352,
Gl 205,Unknown,0,,0,18.450992443813885,,,25813,,,0,5.6571,M1V,0.018080065521100055,7.97,25878,36395,,Gl 205,,,82.864155,-3.677229,2.287337938491298,18.270631228500307,-1.1833834005783284,1,25813,0,0,0.701301,5.601801,-0.362827,hyg:25813,
Gl 754,Unknown,0,,0,18.563190237748444,,,119276,,,0,5.6915,M4.5,0.0003617428867642,12.23,,,,Gl 754,,,290.19678,-45.55959,4.488740194581789,-12.199618383392611,-13.255634456908773,1,119276,0,0,1.376254,-3.74042,-4.064196,hyg:119276,
HIP 103039,Unknown,0,,0,18.634292328090698,,,102708,,,0,5.7133,,0.0007755324957586,11.41,103039,,,,,,313.1376,-16.974738,12.186151386556686,-13.005299652319842,-5.440281857187725,1,102708,0,0,3.736291,-3.987443,-1.667998,hyg:102708,
Gl 644B,Unknown,0,,0,18.719745299052484,,,119112,,,0,5.7395,,0.0031448504654769593,9.9,,,,Gl 644B,,,253.86781499999998,-8.3376,-5.146421483992493,-17.792547948479324,-2.714469069185368,2,82565,0,0,-1.5779,-5.45522,-0.83226,hyg:82565,
Gl 644C,Unknown,0,,0,18.719745299052484,,,119113,,,0,5.7395,M7,5.5667279815e-06,16.78,,,,Gl 644C,,,253.89711,-8.395842,-5.1374717529879455,-17.79568883439674,-2.7337775267461994,3,82565,0,0,-1.575156,-5.456183,-0.83818,hyg:82565,
Gl 229,Yes,2,,2,18.76508103555511,GJ 229 A c; GJ 229 b,,29222,GJ 229,catalog identifier,2,5.7534,M1/M2V,0.015848931924611134,8.15,29295,42581,,Gl 229,,,92.64426,-21.864643,-0.803443836176094,17.39683546165071,-6.988458119987121,1,29222,2,0,-0.246337,5.333894,-2.142671,hyg:29222,
Alsafi,Unknown,0,,0,18.769321068465427,,,95799,,,0,5.7547,K0V,0.39084089579240183,4.67,96100,185144,7462,Gl 764,61Sig Dra,Alsafi,293.08723499999996,69.661175,2.5585402281265477,-6.001329535008512,17.599893899289597,1,95799,0,0,0.784452,-1.840016,5.396152,hyg:95799,
Gl 251,Yes,2,,2,18.787911981995283,GJ 251 b; GJ 251 c,,118447,GJ 251,catalog identifier,0,5.7604,dM4,0.0028628592708721187,10.01,,,,Gl 251,,,103.70409,33.270718,-3.7216367020108945,15.264395710064647,10.30906272464884,1,118447,2,0,-1.141059,4.680085,3.160773,hyg:118447,
Gl 338A,Unknown,0,,0,18.953925578253106,,,45211,,,0,5.8113,M0V,0.025846396357698437,7.64,45343,79210,,Gl 338A,,,138.59739000000002,52.686625,-8.617827751455325,7.598980458743762,15.07498039370565,1,45211,0,0,-2.642238,2.329858,4.62201,hyg:45211,
Gl 213,Unknown,0,,0,19.012307569864404,,,26792,,,0,5.8292,M5,0.0007033961712162,11.56,26857,,,Gl 213,,,85.53849,12.489337,1.444155209254196,18.509162433779668,4.112228533709358,1,26792,0,0,0.44278,5.674935,1.260815,hyg:26792,
Gl 693,Unknown,0,,0,19.020135322929605,,,86722,,,0,5.8316,M5,0.0014845676750522715,10.75,86990,,,Gl 693,,,266.64493500000003,-57.319042,-0.6013540829790227,-10.250687256165097,-16.00623839118138,1,86722,0,0,-0.184376,-3.142875,-4.907535,hyg:86722,
Gl 570A,Unknown,0,,0,19.048837084168678,,,72957,,,0,5.8404,K4V,0.1530382532177437,5.72,73184,131977,5568,Gl 570A,,,224.366475,-21.415475,-12.677995204153534,-12.400768806221858,-6.955578295549497,1,72957,0,0,-3.887091,-3.802093,-2.13259,hyg:72957,
Gl 752A,Yes,1,,1,19.14505321559512,HD 180617 b,,94466,HD 180617,catalog identifier,0,5.8699,M3.5V,0.006748387308707573,9.12,94761,180617,,Gl 752A,,,289.23024,5.168904,6.280415024293175,-18.00429519202059,1.724913880756546,1,94466,1,0,1.925584,-5.520142,0.528861,hyg:94466,
Gl 752B,Unknown,0,,0,19.156468688815202,,,119275,,,0,5.8734,dM5  e,2.9484923139e-06,17.52,,,,Gl 752B,,,289.24215000000004,5.148625,6.2877470196642475,-18.013306892736903,1.7190952509780792,2,94466,0,0,1.927832,-5.522905,0.527077,hyg:94466,
Gl 300,Unknown,0,,0,19.185822762809707,,,118532,,,0,5.8824,M4,0.0004357124805031,12.1,,,,Gl 300,,,123.16962000000001,-21.551445,-9.763083471478565,14.936817290541057,-7.047652240978934,1,118532,0,0,-2.993375,4.579649,-2.16082,hyg:118532,
Gl 570B,Unknown,0,,0,19.325417692472477,,,72955,,,0,5.9252,K5V,0.019124936418442054,8.01,73182,131976,,Gl 570B,,,224.36041500000002,-21.41152,-12.86371843031678,-12.579766687876583,-7.055310392727723,2,72957,0,0,-3.944034,-3.856974,-2.163168,hyg:72957,
Gl 588,Unknown,0,,0,19.33813779120343,,,75841,,,0,5.9291,M0,0.005780960474057175,9.31,76074,,,Gl 588,,,233.05481999999998,-41.275586,-8.73575285138259,-11.615446218391707,-12.757306650522917,1,75841,0,0,-2.678394,-3.561312,-3.911408,hyg:75841,
Guniibuu,Unknown,0,,0,19.351836359067534,,,84147,,,0,5.9333,K2:III:,0.5680675741067719,4.33,84405,155885,6401,Gl 663A,36    Oph,Guniibuu,258.83754,-26.602829,-3.3497760310847036,-16.975780624273504,-8.665828185563898,1,84147,0,0,-1.027046,-5.204798,-2.656955,hyg:84147,
Gl 34B,Unknown,0,,0,19.41511069634458,,,118021,,,0,5.9527,K7 V,0.0305914455948641,7.51,,,,Gl 34B,,,12.25533,57.817365,10.105616160920468,2.1975992727263134,16.43355216944697,2,3814,0,0,3.098396,0.673787,5.03855,hyg:3814,
Achird,Unknown,0,,0,19.416415321855446,,,3814,,,0,5.9531,G0V SB,1.2752637064597296,3.46,3821,4614,219,Gl 34A,24Eta Cas,Achird,12.2739,57.815187,10.105831424129759,2.199034360788267,16.432984657349746,1,3814,0,0,3.098462,0.674227,5.038376,hyg:3814,
Gl 285,Unknown,0,,0,19.427830795075533,,,37659,,,0,5.9566,M4.5Ve,0.001032761405761397,11.19,37766,,,Gl 285,,,116.167395,3.552454,-8.551458190153744,17.403860870026726,1.2038399285887225,1,37659,0,0,-2.621889,5.336048,0.369099,hyg:37659,
Gl 664,Unknown,0,,0,19.473166531578162,,,84220,,,0,5.9705,K5V,0.09120108393559093,6.33,84478,156026,,Gl 664,,,259.05582,-26.546147,-3.307313732269761,-17.103363214544963,-8.702915427274068,1,84220,0,0,-1.014027,-5.243915,-2.668326,hyg:84220,
Gl 661A,Unknown,0,,0,19.49632363439605,,,83882,,,0,5.9776,K5,0.005877599636806001,9.31,84140,155876,,Gl 661A,,,258.032535,45.665974,-2.8249838962109095,-13.328103142473656,13.944662635781834,1,83882,0,0,-0.866144,-4.086415,4.275453,hyg:83882,
Gl 908,Unknown,0,,0,19.49632363439605,,,117106,,,0,5.9776,M2V,0.007965260797837782,8.98,117473,,,Gl 908,,,357.30219,2.401223,19.45553777936257,-0.9167505617948907,0.8167510163869371,1,117106,0,0,5.965095,-0.281077,0.250417,hyg:117106,
Guniibuu B,Unknown,0,,0,19.521111519102522,,,119135,,,0,5.9852,K1 Ve,0.29241523778433354,5.07,,155886,6402,Gl 663B,36    Oph,Guniibuu B,258.83601,-26.603215,-3.379740017505541,-17.124129591114187,-8.741770436551464,2,84147,0,0,-1.036233,-5.250282,-2.680239,hyg:84147,
Gl 783A,Unknown,0,,0,19.618306119662112,,,99143,,,0,6.015,K2V,0.23463889244641298,5.32,99461,191408,7703,Gl 783A,,,302.79948,-36.101212,8.584977281091694,-13.321410413602909,-11.557135981183507,1,99143,0,0,2.632166,-4.084363,-3.543434,hyg:99143,
82 G. Eri,Yes,4,,4,19.710934530933667,HD 20794 b; HD 20794 d; HD 20794 e; HD 20794 f,,15471,HD 20794,catalog identifier,1,6.0434,G8V,0.6286370884130494,4.26,15510,20794,1008,Gl 139,,82 G. Eri,49.97916,-43.069784,9.26035581555731,11.028974650927898,-13.462101228694804,1,15471,4,0,2.839238,3.381499,-4.127499,hyg:15471,
Gl 783B,Unknown,0,,0,19.738331666661875,,,119334,,,0,6.0518,M3.5,0.0008009400305333,11.5,,,,Gl 783B,,,302.798685,-36.102643,8.639119239792674,-13.40519020234701,-11.630488550532002,2,99143,0,0,2.648766,-4.11005,-3.565924,hyg:99143,
Gl 555,Yes,1,,1,19.768338053411814,HN Lib b,,71027,HN Lib,catalog identifier,0,6.061,M4,0.0009488553267278,11.32,71253,,,Gl 555,,,218.57007000000002,-12.519555,-15.088502837125784,-12.032081636850851,-4.285293630853416,1,71027,1,0,-4.626156,-3.689053,-1.313877,hyg:71027,
Gl 780,Unknown,0,,0,19.922936176449547,,,98924,,,0,6.1084,G5IV-Vvar,1.23594743344451,3.55,99240,190248,7665,Gl 780,Del Pav,,302.17735500000003,-66.182068,4.284951166656813,-6.809209097921554,-18.22558903273762,1,98924,0,0,1.313772,-2.087713,-5.587991,hyg:98924,
GJ 3323,Yes,2,,2,20.0096937729222,GJ 3323 b; GJ 3323 c,,118344,GJ 3323,catalog identifier,0,6.135,m,0.0004738053933388,12.1,,,,GJ 3323,,,75.48717,-6.945051,4.977589896631198,19.229074360058725,-2.4195160721247855,1,118344,2,0,1.526136,5.895661,-0.741827,hyg:118344,
GJ 1221,Unknown,0,,0,20.03415550125096,,,119184,,,0,6.1425,DXP9,7.19117735783e-05,14.15,,,,GJ 1221,,,267.06282,70.874972,-0.3403963651678563,-6.55497346305513,18.928387533877885,1,119184,0,0,-0.104366,-2.009764,5.80347,hyg:119184,
GJ 3454,Unknown,0,,0,20.13298088369913,,,118488,,,0,6.1728,m,0.0001709228005234,13.22,,,,GJ 3454,,,114.104415,7.080332,-8.159630225783735,18.237294785133876,2.481606461750722,1,118488,0,0,-2.501754,5.59158,0.760864,hyg:118488,
Gl 896A,Yes,1,,1,20.162987270449072,GJ 896 A b,,115766,GJ 896 A,catalog identifier,0,6.182,M6Ve,0.0031798014276915245,10.05,116132,,,Gl 896A,,,352.96732499999996,19.937259,18.81198232267078,-2.320684166549058,6.875405796342944,1,115766,1,0,5.76778,-0.711525,2.108009,hyg:115766,
Gl 644A,Unknown,0,,0,20.20669222506312,,,82565,,,0,6.1954,M3Ve,0.008241381150130013,9.02,82817,152751,,Gl 644A,,,253.86983999999998,-8.336344,-5.554622498523883,-19.206448892136518,-2.929693139713093,1,82565,0,0,-1.703055,-5.888724,-0.898248,hyg:82565,
Gl 784,Unknown,0,,0,20.215498447261467,,,99382,,,0,6.1981,M0V,0.021697015538008506,7.97,99701,191849,,Gl 784,,,303.47168999999997,-45.164019,7.860991661654954,-11.889065326785836,-14.334732617275952,1,99382,0,0,2.410191,-3.645204,-4.395049,hyg:99382,
GJ 1128,Unknown,0,,0,20.258224932742362,,,118644,,,0,6.2112,m,0.0002596569790274,12.78,,,,GJ 1128,,,145.72288500000002,-68.885517,-6.029085442752207,4.1094692507538735,-18.89487170450371,1,118644,0,0,-1.848526,1.259969,-5.793194,hyg:118644,
GJ 3877,Unknown,0,,0,20.258224932742362,,,118995,,,0,6.2112,dM8,5.0862769031e-06,17.05,,,,GJ 3877,,,224.16006,-28.165379,-12.812482524941258,-12.44183841730395,-9.562249420335704,1,118995,0,0,-3.928325,-3.814685,-2.931799,hyg:118995,
Gl 581,Yes,3,,3,20.269640405962445,GJ 581 b; GJ 581 c; GJ 581 e,,74766,GJ 581,catalog identifier,0,6.2147,M5,0.001989756811090657,10.57,74995,,,Gl 581,,,229.86180000000002,-7.72228,-12.94782111387482,-15.355226999694983,-2.723627540271654,1,74766,3,0,-3.96982,-4.707934,-0.835068,hyg:74766,
Gl 896B,Unknown,0,,0,20.377272010608973,,,119568,,,0,6.2477,dM6  e,0.0003729065399622,12.4,,,,Gl 896B,,,352.968045,19.937322,19.01172701151207,-2.3449436779236295,6.948415901494837,2,115766,0,0,5.829022,-0.718963,2.130394,hyg:115766,
Gl 268,Unknown,0,,0,20.52991319538041,,,34511,,,0,6.2945,M5Ve,0.0007550922276654,11.65,34603,,,Gl 268,,,107.50793999999999,38.52946,-4.831726241388716,15.317167811979218,12.789119943605407,1,34511,0,0,-1.481414,4.696265,3.921162,hyg:34511,
Gl 661B,Unknown,0,,0,20.620584668385664,,,119134,,,0,6.3223,M3.5,0.002407686845612442,10.4,,,,Gl 661B,,,258.031065,45.665514,-2.9881403625999328,-14.097404929030361,14.749332819938145,2,83882,0,0,-0.916168,-4.322284,4.522166,hyg:83882,
Gl 338B,Yes,1,,1,20.8472633508988,GJ 338 B b,,45214,GJ 338 B,catalog identifier,0,6.3918,K2,0.029593749953433862,7.7,120005,79211,,Gl 338B,,,138.605355,52.686376,-9.479881888707117,8.356781971422174,16.580782419912087,2,45211,1,0,-2.906545,2.562201,5.083691,hyg:45211,
GJ 2097,Unknown,0,,0,20.9076022807764,,,118865,,,0,6.4103,m,0.0003323533035775,12.58,,,,GJ 2097,,,196.75938000000002,20.815405,-18.711822960637743,-5.634935244972854,7.429274772290186,1,118865,0,0,-5.737071,-1.727679,2.277826,hyg:118865,
Gl 223.2,Unknown,0,,0,21.069375844123904,,,118399,,,0,6.4599,DZ9,6.03114819618e-05,14.45,,,,Gl 223.2,,,88.79016,-4.169761,0.44367378217186315,21.008926021077883,-1.5319923833370923,1,118399,0,0,0.136031,6.441366,-0.469711,hyg:118399,
Gl 625,Yes,1,,1,21.253654197533862,GJ 625 b,,80218,GJ 625,catalog identifier,0,6.5164,M2,0.003280952931131187,10.13,80459,,,Gl 625,,,246.35184000000004,54.304103,-4.974103284953406,-11.359641771348464,17.2603324944487,1,80218,1,0,-1.525067,-3.482882,5.292042,hyg:80218,
GJ 1156,Unknown,0,,0,21.331279415430444,,,118812,,,0,6.5402,dM   e,0.0001114807803364,13.81,,,,GJ 1156,,,184.75167,11.125205,-20.858496176547366,-1.7336940104446807,4.115946716415328,1,118812,0,0,-6.395244,-0.531553,1.261955,hyg:118812,
Gl 892,Yes,6,,6,21.350848798093452,HD 219134 b; HD 219134 c; HD 219134 d; HD 219134 f; HD 219134 g; HD 219134 h,,114260,HD 219134,catalog identifier,2,6.5462,K3Vvar,0.22080047330188987,5.57,114622,219134,8832,Gl 892,,,348.31647000000004,57.168355,11.335894325486908,-2.3432737572697193,17.93997389277107,1,114260,6,0,3.475601,-0.718451,5.500421,hyg:114260,
Gl 408,Unknown,0,,0,21.729190196244875,,,53612,,,0,6.6622,M3,0.003760105236684952,10.03,53767,,,Gl 408,,,165.01782,22.832962,-19.345786158260886,5.177269354196943,8.431957754922106,1,53612,0,0,-5.931445,1.587358,2.58525,hyg:53612,
Gl 566B,Unknown,0,,0,21.851498837888652,,,118988,,,0,6.6997,K4 Ve,0.06367955209079156,6.97,,,,Gl 566B,,,222.84732,19.099249,-15.13926581575362,-14.042411702183543,7.150101220783539,2,72432,0,0,-4.64172,-4.305423,2.192231,hyg:72432,
Gl 829,Unknown,0,,0,21.86780665677449,,,105765,,,0,6.7047,M4,0.002889348981559078,10.33,106106,,,Gl 829,,,322.403265,17.64329,16.51087406191228,-12.713529941505774,6.627693289030854,1,105765,0,0,5.062257,-3.897986,2.03206,hyg:105765,
Gl 566A,Unknown,0,,0,21.892594541480964,,,72432,,,0,6.7123,G8V + K4V,0.5992389025834781,4.54,72659,131156,5544,Gl 566A,37Xi  Boo,,222.847395,19.10046,-15.167318525801035,-14.068419411742676,7.163835665849191,1,72432,0,0,-4.650321,-4.313397,2.196442,hyg:72432,
Gl 643,Unknown,0,,0,21.901400763679312,,,82557,,,0,6.715,M4,0.000797994687268,11.73,82809,,,Gl 643,,,253.855125,-8.322576,-6.025817355847485,-20.81570119822715,-3.170083436345441,1,82557,0,0,-1.847524,-6.382123,-0.971952,hyg:82557,
Gl 299,Unknown,0,,0,22.037734129564914,,,118530,,,0,6.7568,dM5,0.000293494522227,12.83,,,,Gl 299,,,122.98944,8.775732,-11.855663652143864,18.263344895022115,3.3613415362385393,1,118530,0,0,-3.634963,5.599567,1.030592,hyg:118530,
Gl 402,Unknown,0,,0,22.049475759162714,,,52866,,,0,6.7604,M4:,0.0008790225168309,11.64,53020,,,Gl 402,,,162.71695499999998,6.808149,-20.905430079300803,6.5045366408050125,2.6138563497873073,1,52866,0,0,-6.409634,1.9943,0.801412,hyg:52866,
GJ 4285,Unknown,0,,0,22.1874399069369,,,119513,,,0,6.8027,m,0.0010597416418830963,11.45,,,,GJ 4285,,,339.490125,-65.822318,8.511924775610698,-3.1820533754076457,-20.24115064636889,1,119513,0,0,2.609768,-0.975622,-6.205965,hyg:119513,
HIP 85605,Unknown,0,,0,22.211575478887937,,,85345,,,0,6.8101,,0.001123052347541083,11.39,85605,,,,,,262.40103,24.654069,-2.669472535315566,-20.009550264116008,9.265306869371049,1,85345,0,0,-0.818464,-6.134956,2.840756,hyg:85345,
Gl 667A,Unknown,0,,0,22.295071511583423,,,84451,,,0,6.8357,K4V,0.1760353953616164,5.91,84709,156384,6426,Gl 667A,,,259.73763,-34.989792,-3.2538925791635354,-17.973183135150187,-12.784687478432236,1,84451,0,0,-0.997648,-5.510603,-3.919803,hyg:84451,
